VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
6636, 1915, 0.14717, 0.66678, -0.71387, -0.68066, 0.70752, 0.18958, 0.00, 0.26196, -0.00647, 0.96484, -1.00, 0.7334, 0.24414, 0.50584, 0.95522
6637, 1916, 0.09713, 0.63119, -0.79631, -0.84912, 0.51465, 0.11694, 0.00, 0.14795, 0.01945, 0.98877, -1.00, 0.68848, 0.26929, 0.53561, 0.93768
6638, 1930, 0.11524, 0.62833, -0.72541, -0.82227, 0.52295, 0.22412, 0.00, 0.25317, -0.01666, 0.96729, -1.00, 0.72412, 0.26953, 0.51206, 0.93735
6639, 1925, 0.13435, 0.62719, -0.65497, -0.80859, 0.51465, 0.2854, 0.00, 0.32275, -0.01796, 0.94629, -1.00, 0.76025, 0.27002, 0.48854, 0.93711
6640, 1931, 0.08389, 0.56301, -0.71705, -0.90234, 0.36133, 0.23535, 0.00, 0.25049, -0.00484, 0.96826, -1.00, 0.72461, 0.30811, 0.51197, 0.91014
6641, 1928, 0.10284, 0.56325, -0.64628, -0.87646, 0.36646, 0.31177, 0.00, 0.32495, -0.02696, 0.94531, -1.00, 0.75977, 0.30786, 0.48851, 0.91057
6642, 1929, 0.08805, 0.49107, -0.62585, -0.9209, 0.19116, 0.33984, 0.00, 0.3396, -0.03531, 0.93994, -1.00, 0.76807, 0.34717, 0.48305, 0.8832
6643, 1928, 0.10284, 0.56325, -0.64628, -0.87646, 0.36646, 0.31177, 0.00, 0.32495, -0.02696, 0.94531, -1.00, 0.75977, 0.30786, 0.48851, 0.91057
6644, 1931, 0.08389, 0.56301, -0.71705, -0.90234, 0.36133, 0.23535, 0.00, 0.25049, -0.00484, 0.96826, -1.00, 0.72461, 0.30811, 0.51197, 0.91014
6645, 1925, 0.13435, 0.62719, -0.65497, -0.80859, 0.51465, 0.2854, 0.00, 0.32275, -0.01796, 0.94629, -1.00, 0.76025, 0.27002, 0.48854, 0.93711
6646, 1930, 0.11524, 0.62833, -0.72541, -0.82227, 0.52295, 0.22412, 0.00, 0.25317, -0.01666, 0.96729, -1.00, 0.72412, 0.26953, 0.51206, 0.93735
6647, 1931, 0.08389, 0.56301, -0.71705, -0.90234, 0.36133, 0.23535, 0.00, 0.25049, -0.00484, 0.96826, -1.00, 0.72461, 0.30811, 0.51197, 0.91014
6648, 1930, 0.11524, 0.62833, -0.72541, -0.82227, 0.52295, 0.22412, 0.00, 0.25317, -0.01666, 0.96729, -1.00, 0.72412, 0.26953, 0.51206, 0.93735
6649, 1916, 0.09713, 0.63119, -0.79631, -0.84912, 0.51465, 0.11694, 0.00, 0.14795, 0.01945, 0.98877, -1.00, 0.68848, 0.26929, 0.53561, 0.93768
6650, 1932, 0.0672, 0.56316, -0.78637, -0.92529, 0.35498, 0.13232, 0.00, 0.15222, 0.02844, 0.98779, -1.00, 0.68994, 0.30811, 0.53492, 0.91012
6651, 1930, 0.11524, 0.62833, -0.72541, -0.82227, 0.52295, 0.22412, 0.00, 0.25317, -0.01666, 0.96729, -1.00, 0.72412, 0.26953, 0.51206, 0.93735
6652, 1932, 0.0672, 0.56316, -0.78637, -0.92529, 0.35498, 0.13232, 0.00, 0.15222, 0.02844, 0.98779, -1.00, 0.68994, 0.30811, 0.53492, 0.91012
6653, 1931, 0.08389, 0.56301, -0.71705, -0.90234, 0.36133, 0.23535, 0.00, 0.25049, -0.00484, 0.96826, -1.00, 0.72461, 0.30811, 0.51197, 0.91014
6654, 1834, 0.06283, 0.55916, -0.84314, -0.92871, 0.3335, -0.16248, 0.00, -0.12262, 0.13745, 0.98291, -1.00, 0.66162, 0.30835, 0.55334, 0.91009
6655, 1932, 0.0672, 0.56316, -0.78637, -0.92529, 0.35498, 0.13232, 0.00, 0.15222, 0.02844, 0.98779, -1.00, 0.68994, 0.30811, 0.53492, 0.91012
6656, 1916, 0.09713, 0.63119, -0.79631, -0.84912, 0.51465, 0.11694, 0.00, 0.14795, 0.01945, 0.98877, -1.00, 0.68848, 0.26929, 0.53561, 0.93768
6657, 1826, 0.04343, 0.4901, -0.83495, -0.97656, 0.19775, -0.08704, 0.00, -0.06757, 0.10303, 0.99219, -1.00, 0.66309, 0.34619, 0.5525, 0.88338
6658, 1932, 0.0672, 0.56316, -0.78637, -0.92529, 0.35498, 0.13232, 0.00, 0.15222, 0.02844, 0.98779, -1.00, 0.68994, 0.30811, 0.53492, 0.91012
6659, 1834, 0.06283, 0.55916, -0.84314, -0.92871, 0.3335, -0.16248, 0.00, -0.12262, 0.13745, 0.98291, -1.00, 0.66162, 0.30835, 0.55334, 0.91009
6660, 1929, 0.08805, 0.49107, -0.62585, -0.9209, 0.19116, 0.33984, 0.00, 0.3396, -0.03531, 0.93994, -1.00, 0.76807, 0.34717, 0.48305, 0.8832
6661, 1931, 0.08389, 0.56301, -0.71705, -0.90234, 0.36133, 0.23535, 0.00, 0.25049, -0.00484, 0.96826, -1.00, 0.72461, 0.30811, 0.51197, 0.91014
6662, 1933, 0.06333, 0.493, -0.71157, -0.95215, 0.18787, 0.24133, 0.00, 0.24548, 0.00, 0.96924, -1.00, 0.72461, 0.34668, 0.51192, 0.88287
6663, 1929, 0.08805, 0.49107, -0.62585, -0.9209, 0.19116, 0.33984, 0.00, 0.3396, -0.03531, 0.93994, -1.00, 0.76807, 0.34717, 0.48305, 0.8832
